date,temperature,dewpoint,pressure,wind_speed,wind_dir,wind_dir_degrees,visibility,humidity,max_temperature,min_temperature,temperature_normal,min_temperature_normal,max_temperature_normal,min_temperature_record,max_temperature_record,min_temperature_record_year,max_temperature_record_year,max_humidity,min_humidity,max_dewpoint,min_dewpoint,max_pressure,min_pressure,max_wind_speed,min_wind_speed,max_visibility,min_visibility,fog,hail,snow,rain,thunder,tornado,snowfall,monthtodatesnowfall,since1julsnowfall,snowdepth,precip,preciprecord,preciprecordyear,precipnormal,since1janprecipitation,since1janprecipitationnormal,monthtodateprecipitation,monthtodateprecipitationnormal,precipsource,gdegreedays,heatingdegreedays,coolingdegreedays,heatingdegreedaysnormal,monthtodateheatingdegreedays,monthtodateheatingdegreedaysnormal,since1sepheatingdegreedays,since1sepheatingdegreedaysnormal,since1julheatingdegreedays,since1julheatingdegreedaysnormal,coolingdegreedaysnormal,monthtodatecoolingdegreedays,monthtodatecoolingdegreedaysnormal,since1sepcoolingdegreedays,since1sepcoolingdegreedaysnormal,since1jancoolingdegreedays,since1jancoolingdegreedaysnormal,avgoktas,icon
19900520,64,51,30.04,8,None,None,12,None,69,59,None,None,None,48,89,1896,1883,75,54,54,48,30.08,30.0,15,5,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.65,1851,None,None,None,None,None,None,14,1,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,partlycloudy
19900521,66,56,30.02,7,None,None,10,None,71,61,None,None,None,49,85,1948,1941,81,59,58,53,30.06,29.98,15,4,15,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.58,1921,None,None,None,None,None,None,16,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,partlycloudy
19900522,68,58,29.99,7,None,None,10,None,73,62,None,None,None,48,88,1878,1893,86,57,60,56,30.04,29.93,18,4,10,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.77,2006,None,None,None,None,None,None,18,0,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
19900523,66,58,29.91,8,None,None,13,None,69,62,None,None,None,48,82,1879,1932,84,68,59,57,29.94,29.88,14,4,15,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.17,1882,None,None,None,None,None,None,16,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6,partlysunny
19900524,64,55,29.91,8,None,None,14,None,69,60,None,None,None,48,95,1879,1896,90,57,60,52,29.93,29.89,16,4,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.1,2008,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,partlycloudy
19900525,62,54,29.94,6,None,None,8,None,66,57,None,None,None,49,98,1879,1896,87,60,56,52,30.0,29.89,14,0,10,7,0,0,0,0,0,0,0.0,None,None,None,0.0,0.19,1931,None,None,None,None,None,None,12,4,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,partlycloudy
19900526,64,52,30.0,7,None,None,11,None,66,60,None,None,None,50,87,1916,1896,78,57,53,50,30.03,29.96,12,5,15,8,0,0,0,0,0,0,0.0,None,None,None,0.0,0.1,1942,None,None,None,None,None,None,14,2,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,partlycloudy
19900527,64,53,29.92,7,None,None,12,None,69,60,None,None,None,50,84,1917,1915,78,57,55,51,29.97,29.86,14,4,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.1,1962,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,mostlycloudy
19900528,62,56,29.82,11,None,None,8,None,66,59,None,None,None,52,86,1893,1997,96,68,60,51,29.95,29.75,20,5,15,3,1,0,0,1,0,0,0.0,None,None,None,0.51,0.49,1990,None,None,None,None,None,None,12,2,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,rain
19900529,62,52,29.98,8,None,None,11,None,66,57,None,None,None,52,88,1895,1978,81,60,53,49,30.03,29.94,14,4,15,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.2,1877,None,None,None,None,None,None,12,4,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
19900530,63,54,29.99,6,None,None,10,None,66,60,None,None,None,50,88,1878,1879,86,63,56,52,30.02,29.97,15,0,10,8,0,0,0,0,0,0,0.0,None,None,None,0.0,0.09,1884,None,None,None,None,None,None,13,2,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6,partlysunny
19900531,64,53,29.99,9,None,None,12,None,68,59,None,None,None,52,94,1906,1879,84,56,57,51,30.01,29.97,15,0,15,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.11,1925,None,None,None,None,None,None,14,2,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6,partlysunny
19900601,64,52,29.98,9,None,None,10,None,69,60,None,None,None,52,89,1916,1879,78,54,56,49,30.01,29.95,13,5,10,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.25,1899,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,partlycloudy
19900602,67,55,29.97,7,None,None,10,None,75,59,None,None,None,51,93,1967,1879,83,44,59,52,29.99,29.94,14,0,20,7,0,0,0,0,0,0,0.0,None,None,None,0.0,0.05,1944,None,None,None,None,None,None,17,0,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,clear
19900603,70,58,29.95,6,None,None,11,None,79,62,None,None,None,51,91,1890,1919,90,40,62,52,29.98,29.91,14,0,20,8,0,0,0,0,0,0,0.0,None,None,None,0.0,0.13,1952,None,None,None,None,None,None,20,0,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,clear
19900604,71,60,29.85,6,None,None,8,None,80,62,None,None,None,50,88,1908,1898,90,42,62,55,29.91,29.82,12,0,10,6,0,0,0,0,0,0,0.0,None,None,None,0.0,0.12,1945,None,None,None,None,None,None,21,0,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,clear
19900605,66,59,29.85,9,None,None,6,None,70,61,None,None,None,52,85,1880,1890,97,68,62,58,29.89,29.82,15,6,8,1,1,0,0,0,0,0,0.0,None,None,None,0.0,0.38,1993,None,None,None,None,None,None,16,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,hazy
19900606,67,59,29.89,8,None,None,6,None,71,63,None,None,None,52,93,1948,1890,87,63,60,58,29.93,29.86,12,4,7,5,1,0,0,0,0,0,0.0,None,None,None,0.0,0.29,1934,None,None,None,None,None,None,17,0,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,hazy
19900607,68,61,29.87,7,None,None,6,None,72,63,None,None,None,53,92,1906,1890,90,68,61,60,29.9,29.8,10,5,7,4,1,0,0,0,0,0,0.0,None,None,None,0.0,0.07,1879,None,None,None,None,None,None,18,0,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,hazy
19900608,70,62,29.86,8,None,None,6,None,75,64,None,None,None,52,81,1950,1890,93,64,63,59,29.9,29.77,17,0,7,3,1,0,0,1,1,0,0.0,None,None,None,0.0,0.07,1998,None,None,None,None,None,None,20,0,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,tstorms
19900609,72,64,29.83,6,None,None,9,None,77,66,None,None,None,54,93,1950,1877,90,66,66,60,29.89,29.78,12,0,10,4,0,0,0,1,1,0,0.0,None,None,None,0.38,0.38,1990,None,None,None,None,None,None,22,0,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,tstorms
19900610,70,64,29.94,6,None,None,9,None,73,66,None,None,None,52,101,1892,1979,97,68,66,62,30.0,29.88,10,4,20,2,1,0,0,1,0,0,0.0,None,None,None,0.49,0.49,1990,None,None,None,None,None,None,20,0,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,rain
19900611,69,63,29.98,7,None,None,8,None,72,64,None,None,None,51,98,1892,1979,93,76,65,60,30.02,29.94,14,4,10,7,0,0,0,0,0,0,0.0,None,None,None,0.0,0.26,1963,None,None,None,None,None,None,19,0,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,mostlycloudy
19900612,64,56,29.96,7,None,None,9,None,66,63,None,None,None,50,90,1894,1979,87,68,60,55,29.99,29.91,14,0,10,7,0,0,0,0,0,0,0.0,None,None,None,0.0,0.15,1862,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
19900613,64,54,29.92,12,None,None,10,None,66,63,None,None,None,50,90,1894,1979,78,63,56,52,29.94,29.87,17,9,10,8,0,0,0,0,0,0,0.0,None,None,None,0.0,0.15,1884,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,cloudy
19900614,64,50,29.98,10,None,None,11,None,68,61,None,None,None,50,87,1943,1917,78,50,56,48,30.02,29.94,15,7,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.1,1858,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
19900615,64,49,30.0,9,None,None,13,None,68,59,None,None,None,52,97,1907,1981,70,48,52,46,30.03,29.98,14,5,20,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.13,1995,None,None,None,None,None,None,14,2,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
19900616,65,54,29.95,6,None,None,11,None,70,60,None,None,None,54,100,1897,1981,81,59,57,51,29.98,29.92,13,4,15,10,0,0,0,0,0,0,0.0,None,None,None,0.0,0.17,1995,None,None,None,None,None,None,15,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,partlycloudy
19900617,64,57,29.96,7,None,None,10,None,66,63,None,None,None,52,93,1879,1957,81,70,57,56,30.0,29.9,10,4,10,8,0,0,0,0,0,0,0.0,None,None,None,0.0,0.14,1995,None,None,None,None,None,None,14,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,cloudy
19900618,66,57,30.0,8,None,None,8,None,70,62,None,None,None,54,97,1886,1957,84,63,59,55,30.04,29.96,15,6,10,6,0,0,0,0,0,0,0.0,None,None,None,0.0,0.08,1953,None,None,None,None,None,None,16,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,partlysunny
